City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,hasaki,35.7333,140.8333,5.88,43,0,2.29,JP,1734636778
162,holualoa,19.6228,-155.9522,26.02,73,0,2.57,US,1734636779
163,kibondo,-3.5864,30.7203,15.47,95,16,0.56,TZ,1734636780
164,bailesti,44.0167,23.35,7.04,72,0,2.11,RO,1734636781
165,acarau,-2.8856,-40.12,27.92,74,6,8.65,BR,1734636782
166,nago,26.5881,127.9761,15.65,67,87,2.48,JP,1734636783
167,piti village,13.4626,144.6933,25.73,92,100,1.54,GU,1734636784
168,hammerfest,70.6634,23.6821,-11.75,79,0,1.54,NO,1734636785
169,ponta delgada,37.7333,-25.6667,15.4,77,75,4.63,PT,1734636786
170,avarua,-21.2078,-159.775,27.03,83,100,1.03,CK,1734636787
171,afaahiti,-17.75,-149.2833,25.22,83,72,4.97,PF,1734636788
172,ola,59.5833,151.2833,-17.44,83,91,4.96,RU,1734636789
173,wailua homesteads,22.0669,-159.378,23.96,91,0,3.09,US,1734636790
174,lerwick,60.1545,-1.1494,4.96,56,77,9.6,GB,1734636791
175,polyarnyy,69.1989,33.4478,-12.7,74,100,1.82,RU,1734636793
176,san juan de los morros,9.9115,-67.3538,30.48,47,86,1.52,VE,1734636794
177,antsiranana,-12.2787,49.2917,24.56,81,73,4.33,MG,1734636795
178,eaglehawk,-36.7333,144.25,18.15,39,10,1.0,AU,1734636796
179,loralai,30.3705,68.598,4.24,17,0,1.71,PK,1734636797
180,queenstown,-31.8976,26.8753,15.16,89,65,1.71,ZA,1734636798
181,mahibadhoo,3.7833,72.9667,28.38,80,29,8.78,MV,1734636799
182,yarmouth,41.7057,-70.2286,7.79,71,75,6.17,US,1734636757
183,paddhari,22.4333,70.6,17.6,23,0,3.48,IN,1734636801
184,sibolga,1.7427,98.7792,24.63,86,100,0.95,ID,1734636804
185,progreso,21.2833,-89.6667,26.19,71,97,4.4,MX,1734636805
186,praia da vitoria,38.7333,-27.0667,15.14,77,75,4.34,PT,1734636806
187,vangaindrano,-23.35,47.6,24.0,83,93,2.8,MG,1734636807
188,klyuchi,52.2667,79.1667,-7.58,77,100,6.21,RU,1734636808
189,mana,5.6592,-53.7767,27.18,78,71,4.32,GF,1734636809
190,jeddah,21.5169,39.2192,27.92,65,20,1.54,SA,1734636810
191,farah,32.5,62.5,3.18,31,0,0.85,AF,1734636811
192,serenje,-13.2325,30.2352,19.15,71,100,0.55,ZM,1734636812
193,utrik,11.2278,169.8474,27.15,84,5,10.31,MH,1734636813
194,tura,25.5198,90.2201,14.44,75,9,1.46,IN,1734636814
195,yeppoon,-23.1333,150.7333,23.66,76,100,8.76,AU,1734636554
196,fale old settlement,-9.3852,-171.2468,28.36,75,100,8.78,TK,1734636816
197,isangel,-19.55,169.2667,26.46,84,67,1.32,VU,1734636817
198,cidreira,-30.1811,-50.2056,21.16,94,100,3.79,BR,1734636819
199,remontnoye,46.5614,43.6501,-1.37,64,100,1.13,RU,1734636820
200,kidal,18.4411,1.4078,16.85,28,4,4.72,ML,1734636821
201,bakchar,57.0186,82.0711,-8.93,93,100,3.24,RU,1734636822
202,talnakh,69.4865,88.3972,-13.04,95,100,4.33,RU,1734636823
203,mount isa,-20.7333,139.5,24.87,83,100,3.09,AU,1734636825
204,guarapari,-20.6667,-40.4975,25.34,84,26,2.04,BR,1734636826
205,saldanha,-33.0117,17.9442,18.03,83,0,9.74,ZA,1734636827
206,sinabang,2.4803,96.3801,25.59,86,98,0.83,ID,1734636828
207,san ignacio de velasco,-16.3667,-60.95,29.52,54,100,3.2,BO,1734636829
208,markovo,57.3206,107.0881,-27.52,100,22,0.95,RU,1734636831
209,ghat,24.9647,10.1728,12.5,48,0,2.5,LY,1734636832
210,logan,41.7355,-111.8344,5.7,68,95,1.34,US,1734636783
211,el granada,37.5027,-122.4694,13.97,79,20,4.12,US,1734636587
212,sevastopol,44.6,33.5333,9.44,51,44,2.68,UA,1734636835
213,newman,37.3138,-121.0208,10.03,69,0,1.41,US,1734636546
214,pangody,65.85,74.4859,-19.01,100,85,3.52,RU,1734636837
215,mayya,61.7333,130.2811,-30.74,99,100,1.44,RU,1734636838
216,westport,41.1415,-73.3579,6.87,58,100,3.58,US,1734636839
217,tazovsky,67.4667,78.7,-14.2,96,100,3.04,RU,1734636840
218,nova vicosa,-17.8919,-39.3719,27.68,74,18,4.21,BR,1734636841
219,boca suno,-0.7167,-77.1333,28.26,78,74,1.94,EC,1734636842
220,christchurch,-43.5333,172.6333,15.51,95,75,4.12,NZ,1734636843
221,sydney,-33.8679,151.2073,17.98,74,40,5.14,AU,1734636618
222,tokar,18.4254,37.729,26.7,66,5,3.42,SD,1734636845
223,thinadhoo,0.5333,72.9333,27.73,80,100,9.67,MV,1734636846
224,olonkinbyen,70.9221,-8.7187,-4.07,64,100,2.7,SJ,1734636848
225,zouerate,22.7187,-12.4521,17.87,23,100,5.0,MR,1734636849
226,ohara,35.25,140.3833,5.07,49,0,3.04,JP,1734636850
227,shingu,33.7333,135.9833,1.92,80,100,2.49,JP,1734636851
228,gusinoozyorsk,51.2833,106.5,-18.17,98,13,0.6,RU,1734636852
229,santa luzia,-19.7697,-43.8514,31.5,47,40,3.09,BR,1734636776
230,ebon,4.582,168.6964,27.91,79,97,8.68,MH,1734636854
231,coquimbo,-29.9533,-71.3436,19.99,61,75,6.17,CL,1734636565
232,muzaffarabad,34.37,73.4711,6.52,23,0,2.12,PK,1734636768
233,san luis de la loma,17.2706,-100.8939,29.61,60,100,4.08,MX,1734636857
234,college,64.8569,-147.8028,-23.85,74,20,0.0,US,1734636858
235,talcahuano,-36.7167,-73.1167,20.82,49,0,10.29,CL,1734636859
236,weiser,44.251,-116.9693,5.17,84,100,1.53,US,1734636860
237,arkhangel'sk,64.5401,40.5433,-17.94,85,40,3.0,RU,1734636831
238,weno,7.4515,151.8468,28.89,77,100,7.09,FM,1734636862
239,boundiali,9.5217,-6.4869,23.59,18,0,2.16,CI,1734636863
240,saint-joseph,-21.3667,55.6167,24.21,81,97,4.36,RE,1734636864
